CH4_ppm,CO_ppm,CO2_ppm,H2_ppm,H2S_ppm,NH3_ppm,LPG_ppm,CNG_ppm,target_Methane,target_CO,target_CO2,target_H2,target_H2S,target_NH3,target_LPG,target_CNG
177.39560485559633,44.466516596308416,443.8873235367951,1.7024546555984035,0.20184703040338808,0.16642651465321506,9.793299890120522,4.683965659226063,0,1,0,0,0,0,0,0
143.88784397520521,64.04309289905765,293.3652100224332,1072.26139799333,0.1958944655375532,0.9743183008468304,9.114170428686524,0.9162582577146006,0,1,1,1,0,0,0,0
185.85979199113825,2.0316671220379767,403.6006859010926,1.0523102414228893,0.196202278137207,0.7444304331050315,12.66644230571099,1.3542886856015812,0,0,0,0,1,0,0,0
169.73680290593637,30.59682042193725,375.0864884514704,18052.655216483818,0.28880759311412757,0.8467452476942612,12.406670577097387,2.481973430800976,0,1,0,1,0,0,0,0
109.41773478876496,1.817549099473,423.9323112577841,24958.134277730427,0.37997297720517237,0.5409525476747289,12.488116689119947,4.837487430467281,0,0,0,1,0,0,0,0
16713.02472963635,1.5599431433560897,416.1573904433734,0.6548882349074917,0.1953327844407558,0.9492574428045814,19.21657,21.41392,1,0,0,0,0,0,1,1
176.1139701990353,9279.772004722756,437.53243788196323,0.3453006816856966,0.1258082481578171,0.8611374932380697,12.164978060395246,2.7617795215655345,0,1,0,0,0,0,0,0
19303.77718332648,0.9606852374877041,435.2089116861015,0.42899322067130696,0.1662111282348632,0.4076411314815982,10.131969732827367,0.8729906612963473,1,0,0,0,1,0,0,0
112.81136326755458,2.6655535637447896,377.8353057747949,6603.988522901017,25.82358741760254,0.32357043359160764,11.622916625677949,0.5190673540345198,0,0,0,1,1,0,0,0
145.03859378955673,0.6999262680107783,408.3998046154616,0.1402962286941447,4.0,0.13785979031886159,14.403525684155706,3.37233387273226,0,0,0,0,1,0,0,0
1063.3273767850635,2.453001534314346,393.88190605530696,18206.17498756065,0.32841831951630274,0.8842186386550882,11.204055402545526,1.8092405234986315,1,0,0,1,0,0,0,0
192.67649888486017,9064.347484980432,442.9266828639604,1.367297953240382,23.0,0.30292926937758075,7.943948243688314,2.4906000957938605,0,1,0,0,1,0,0,0
164.38651200806646,0.7658421828393185,390.8905537713068,12972.837747727111,0.288127180713413,0.36479339504755204,9.277844448904634,0.31428653727093026,0,0,0,1,0,0,0,0
182.276161327083,1.5842114549870998,356.3418769142414,21967.815301903986,0.41688739655578466,0.3789829081417512,11.450476108465892,1.1821506668486137,0,0,0,1,0,0,0,0
144.3414198827331,45.02298018427312,398.9776245978359,23037.887458888017,0.30150186417285113,0.8997419849169178,12.876572998760498,0.14693092544830144,0,1,0,1,0,0,0,0
122.72387217847769,2.978336715865118,373.0369711481956,1.0402801470954717,0.23921364552683166,0.7921425206454542,11.710685631861207,0.9462156071560762,0,0,0,0,0,0,0,0
1934.00282354658,2.6634573980035525,351.0688519822622,0.8170923909880933,0.4134839119467373,0.7782637589599087,6.606852376205027,1.6824466995011078,1,0,0,0,0,0,0,0
106.38172561041753,1.5355722239582268,441.2070054936638,4959.385802112617,0.2587775825032342,0.27144090604758364,2335.208,22.09775,0,0,0,1,0,0,1,1
21945.99968788454,1859.723307690116,417.26966043308266,0.16594557402096405,0.0,0.3679799790739837,14.524869283009105,1.2450686709807013,1,1,0,0,1,0,0,0
163.1664399122065,2162.16697271298,194.5116496860759,1.4005159248987324,0.0,0.6373735985412665,19.42801,22.18365,0,1,1,0,1,0,1,1
175.8087740085374,1.349977912818408,387.94910594731294,1.2230277808707974,23.0,0.3177856630162953,10.611258411563398,4.85797970123996,0,0,0,0,1,0,0,0
11439.081532093169,1.7656466986822454,223.0223893604277,29913.493452292805,0.167638005191183,25.908998489379883,12.695982105701518,2.738590085627635,1,0,1,1,0,1,0,0
197.06980243949033,6947.43804660938,548.881600998439,0.15095654288679072,0.1989011514785582,25.665075302124023,5.791843785495278,1.9409771159065397,0,1,1,0,0,1,0,0
4093.215184315339,24.020430031922714,419.6698169062929,1.490926394926944,0.1485946263328659,0.1682171289202864,10.508343299070837,4.484199556286429,1,1,0,0,0,0,0,0
177.83834970737618,2.3561664262668573,501.6048895639034,0.15800779042896734,0.3655431096978973,0.39237254796951104,52.29973,22.41724,0,0,1,0,0,0,1,1
119.46387078519676,0.506750355720204,350.6626983027991,1.4634207429282557,0.11188316868110348,0.8931739479246185,11.835964149313563,0.11396496936517286,0,0,0,0,0,0,0,0
146.67210037270343,1.1561993338326713,1997.4416447463848,1.3451244793901276,23.0,0.8486141921644756,8.753183835469756,3.87396802807441,0,0,1,0,1,0,0,0
104.38037657872287,2.9361718024480146,4982.852820694383,0.6375369675906153,0.1060325586842304,0.8431841505873084,11.831712628418,2.0387457125715724,0,0,1,0,0,0,0,0
115.42894920675478,7425.133910781649,888.5923009634541,0.44338989281623675,0.48158059918860063,27.86931610107422,8.371103032325449,1.0065840218455673,0,1,1,0,0,1,0,0
21901.50340323188,1.6564013952415082,361.8972224819472,1.1259658333487144,0.26062826230959074,0.8941473475840451,8.949740370121571,1.6924031284239105,1,0,0,0,0,0,0,0
174.47621559078172,2.3294074933171576,389.10854520429496,0.68002021533705,0.20092800139394368,27.480371475219727,6.596737319837697,3.810938770117385,0,0,0,0,0,1,0,0
19476.501986267,9485.313732547302,399.4034035362196,35654.537092617684,10.910900115966797,27.960580825805664,26.04176,21.57214,1,1,1,1,1,1,1,1
132.58253581381518,0.7667213037740992,443.43433861977303,0.5427851440150053,0.3442192077636719,0.7397005634058319,7.5093315520726005,1.574012735725594,0,0,0,0,1,0,0,0
19485.045795192797,1.7439235232921004,395.22294292638657,23752.28706629492,12.375706672668455,0.6965477495150045,7.074207696952408,1.5408121066896419,1,0,0,1,1,0,0,0
146.95558112758079,2.888504843153873,440.9887063636183,0.2789859788235539,0.13061191747211137,23.07945251464844,6.3776166926806255,3.828215019859729,0,0,0,0,0,1,0,0
118.94713590842858,1.1815044770308472,109.44662709079115,0.5662980366129684,0.3740069593748636,0.19412503733088002,5.118418684241789,2.953483899529641,0,0,1,0,0,0,0,0
112.99215053354716,0.6321872405760433,359.07963408982175,1.026934451006652,0.1382825151877728,26.770408630371094,10.91046695322313,3.4140088359832568,0,0,0,0,0,1,0,0
20239.081671365835,2.3533660635562748,385.7348189751293,0.9865711771977929,0.354615810735739,0.8817145887719927,49.16949,21.20746,1,0,0,0,0,0,1,1
122.69093490508841,37.53613304110262,447.1427667184527,1.7839505400988318,0.026195841733031966,0.1363022249696944,9.02480717516614,4.896020509172013,0,1,0,0,0,0,0,0
14410.427079804282,26.6525082492476,123.0956683503316,38030.78194565872,11.883482933044434,22.12251663208008,19.2905,21.30455,1,1,1,1,1,1,1,1
143.71519188723306,1.7188477199566703,401.3833733883695,1.6089519485552897,0.1065556926059052,0.34387995409792266,8.499130942953581,1.306875460064223,0,0,0,0,0,0,0,0
183.26781960578376,2.824998813509077,382.88326296505124,0.38502108343361396,0.0,0.9209283984161064,6.433899392433849,4.617947510546447,0,0,0,0,1,0,0,0
170.0265102002249,1.125623156834425,366.4020705397233,0.5245074785099846,0.02533890828976726,0.5472653187161386,13.087051718308555,3.424397562477117,0,0,0,0,0,0,0,0
22055.87731322008,49.44606771472271,363.7868919519086,0.23104467098544768,0.2386008678166318,0.44870699085320753,934.7466,21.24386,1,1,0,0,0,0,1,1
183.22598013952012,1.834778719796129,365.57243454938987,1.3499704539215833,0.4718979557131394,0.9192533335843756,18.98476,21.31671,0,0,0,0,0,0,1,1
11780.756281273923,1.6582708425503372,403.2046042325882,21895.37368939625,0.26567740995394373,0.6414237901194864,78.64771,20.45906,1,0,0,1,0,0,1,1
138.74783790301746,0.8744940330850897,419.9601067422168,0.5890021105029024,0.0,0.9634038808337407,12.903104622339665,4.510302618124127,0,0,0,0,1,0,0,0
