gas,level,pct,ppm,tlv_pct,tlv_ppm,over_tlv,severity,ppm_noisy
CH4,L1,0.93,9300.0,2.5,25000.0,0,0,9352.469811046143
CH4,L1,1.22,12200.0,2.5,25000.0,0,0,12334.14931693007
CH4,L1,0.85,8500.0,2.5,25000.0,0,0,8533.875470249352
CH4,L1,0.21,2100.0,2.5,25000.0,0,0,2170.436787270441
CH4,L1,0.59,5900.0,2.5,25000.0,0,0,5872.748343227874
CH4,L1,0.46,4600.0,2.5,25000.0,0,0,4599.243692784904
CH4,L1,1.07,10700.0,2.5,25000.0,0,0,10768.604132857392
CH4,L1,0.67,6700.0,2.5,25000.0,0,0,6697.613068823328
CH4,L1,0.48,4800.0,2.5,25000.0,0,0,4876.870812141429
CH4,L1,1.11,11100.000000000002,2.5,25000.0,0,0,11222.675804470313
CH4,L1,1.06,10600.0,2.5,25000.0,0,0,10634.53635085238
CH4,L1,1.08,10800.0,2.5,25000.0,0,0,10826.760547399486
CH4,L1,0.6,6000.0,2.5,25000.0,0,0,5966.962661104358
CH4,L1,0.53,5300.0,2.5,25000.0,0,0,5210.241326334504
CH4,L1,0.63,6300.0,2.5,25000.0,0,0,6395.854464191675
CH4,L1,0.93,9300.0,2.5,25000.0,0,0,9433.425749032956
CH4,L1,0.08,800.0,2.5,25000.0,0,0,737.2348648920473
CH4,L1,0.94,9400.0,2.5,25000.0,0,0,9243.836841537115
CH4,L1,0.35,3500.0,2.5,25000.0,0,0,3619.6059266793577
CH4,L1,0.1,1000.0,2.5,25000.0,0,0,999.3704144861387
CH4,L1,1.14,11399.999999999998,2.5,25000.0,0,0,11434.613756314766
CH4,L1,0.18,1800.0,2.5,25000.0,0,0,1695.7946717335478
CH4,L1,0.07,700.0000000000001,2.5,25000.0,0,0,610.7133646619723
CH4,L1,0.78,7800.0,2.5,25000.0,0,0,7843.163421930446
CH4,L1,1.06,10600.0,2.5,25000.0,0,0,10562.657701546968
CH4,L1,0.06,600.0,2.5,25000.0,0,0,546.2978817052385
CH4,L1,0.03,300.0,2.5,25000.0,0,0,329.110427686266
CH4,L1,0.56,5600.000000000001,2.5,25000.0,0,0,5524.516113716649
CH4,L1,0.59,5900.0,2.5,25000.0,0,0,5818.641409541907
CH4,L1,0.57,5699.999999999999,2.5,25000.0,0,0,5818.659514722231
CH4,L1,1.16,11600.0,2.5,25000.0,0,0,11650.023027180925
CH4,L1,1.07,10700.0,2.5,25000.0,0,0,10650.837362603912
CH4,L1,0.51,5100.0,2.5,25000.0,0,0,5033.617010026192
CH4,L1,0.96,9600.0,2.5,25000.0,0,0,9666.631960308994
CH4,L1,0.2,2000.0,2.5,25000.0,0,0,1897.8325166924408
CH4,L1,0.04,400.0,2.5,25000.0,0,0,537.1848052245443
CH4,L1,0.14,1400.0000000000002,2.5,25000.0,0,0,1387.3392705384792
CH4,L1,0.02,200.0,2.5,25000.0,0,0,337.2697514638624
CH4,L1,0.46,4600.0,2.5,25000.0,0,0,4783.921962789311
CH4,L1,0.48,4800.0,2.5,25000.0,0,0,4939.661683485059
CH4,L1,0.65,6500.0,2.5,25000.0,0,0,6595.7357515476615
CH4,L1,0.33,3300.0,2.5,25000.0,0,0,3204.406274057263
CH4,L1,1.18,11800.0,2.5,25000.0,0,0,11827.781504226377
CH4,L1,1.18,11800.0,2.5,25000.0,0,0,11811.106744531318
CH4,L1,0.39,3900.0,2.5,25000.0,0,0,4009.1657505922913
CH4,L1,0.17,1700.0000000000002,2.5,25000.0,0,0,1568.04043318186
CH4,L1,0.34,3400.0000000000005,2.5,25000.0,0,0,3432.4399846899323
CH4,L1,0.1,1000.0,2.5,25000.0,0,0,944.358925328474
