blast,tracf,trid,offset,gelev,selev,sx,sy,gx,gy,ppv,total_charge,max_charge,num_holes,detonator_code,scaled_distance_usbm,scaled_distance_langefors,elevation_diff,vibration_hazard
10003,9,12,950,739.4,954.4,492491.7,5263930.0,491599.02,5264254.79,0.60555017,3827.2,740.0,9,0,34.92269454945587,105.02991936085002,-215.0,0
10003,9,14,950,739.4,954.4,492491.7,5263930.0,491599.02,5264254.79,0.31126308,3827.2,740.0,9,0,34.92269454945587,105.02991936085002,-215.0,0
10003,9,13,950,739.4,954.4,492491.7,5263930.0,491599.02,5264254.79,0.44823033,3827.2,740.0,9,0,34.92269454945587,105.02991936085002,-215.0,0
10003,58,12,1161,786.1,954.4,492491.7,5263930.0,492485.63,5265091.45,0.24296212,3827.2,740.0,9,0,42.67920881254554,128.35761723994406,-168.29999999999995,0
10003,58,14,1161,786.1,954.4,492491.7,5263930.0,492485.63,5265091.45,0.37054485,3827.2,740.0,9,0,42.67920881254554,128.35761723994406,-168.29999999999995,0
10003,58,13,1161,786.1,954.4,492491.7,5263930.0,492485.63,5265091.45,0.3004828,3827.2,740.0,9,0,42.67920881254554,128.35761723994406,-168.29999999999995,0
10003,70,12,2064,782.0,954.4,492491.7,5263930.0,491981.05,5265930.0,0.08745074,3827.2,740.0,9,0,75.87414900008096,228.19131953767837,-172.39999999999998,0
10003,70,14,2064,782.0,954.4,492491.7,5263930.0,491981.05,5265930.0,0.11409581,3827.2,740.0,9,0,75.87414900008096,228.19131953767837,-172.39999999999998,0
10003,70,13,2064,782.0,954.4,492491.7,5263930.0,491981.05,5265930.0,0.111502826,3827.2,740.0,9,0,75.87414900008096,228.19131953767837,-172.39999999999998,0
10003,59,12,1053,891.0,954.4,492491.7,5263930.0,492917.14,5264893.08,0.3397591,3827.2,740.0,9,0,38.70904985323897,116.41737377576322,-63.39999999999998,0
